frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,1.0,[71.86773681640625 113.67001342773438 377.6028137207031 319.46868896484375],[193.8147735595703 268.27899169921875 257.6889953613281 314.2173767089844],0.6851349472999573,69A066166,0.5995849699511119
0,2.0,[737.3310546875 108.85720825195312 844.5750122070312 329.77288818359375],[770.7124633789062 229.5873260498047 813.57080078125 266.0092468261719],0.6699155569076538,88C131343,0.48073806682100917
1,1.0,[71.86695269406889 113.65978361365755 377.6056423165521 319.46729274298104],[193.81613159179688 268.2808532714844 257.68896484375 314.215576171875],0.6849915385246277,69A066166,0.5995849699511119
1,2.0,[737.3009588472208 108.85063681765484 844.5357180060338 329.7673453494721],[770.6878662109375 229.57418823242188 813.5733032226562 266.0312194824219],0.6693065762519836,88C131343,0.48073806682100917
2,1.0,[71.86716463000741 113.6584255886969 377.6055507524576 319.4679662653663],[193.81613159179688 268.2808532714844 257.68896484375 314.215576171875],0.6849915385246277,69A066166,0.5995849699511119
2,2.0,[737.3001155731989 108.84926254628915 844.532475823739 329.7680063727474],[770.6878662109375 229.57418823242188 813.5733032226562 266.0312194824219],0.6693065762519836,88C131343,0.48073806682100917
3,1.0,[71.86690221337341 113.66134734775129 377.60465391004783 319.4696064496182],[193.82064819335938 268.28265380859375 257.68804931640625 314.2129211425781],0.6851260662078857,69A066166,0.5995849699511119
3,2.0,[737.2988361979437 108.86168089778148 844.5324919094248 329.77584822142734],[770.6876831054688 229.57144165039062 813.5747680664062 266.03265380859375],0.6693392395973206,88C131343,0.48073806682100917
4,1.0,[71.86687830894675 113.66232279751995 377.6043681500051 319.4698781975568],[193.82064819335938 268.28265380859375 257.68804931640625 314.2129211425781],0.6851260662078857,69A066166,0.5995849699511119
4,2.0,[737.2984707915131 108.86553413332894 844.5330918909668 329.77721831465493],[770.6876831054688 229.57144165039062 813.5747680664062 266.03265380859375],0.6693392395973206,88C131343,0.48073806682100917
5,1.0,[71.86690027315089 113.66270781151543 377.6042676088231 319.469827916021],[193.82064819335938 268.28265380859375 257.68804931640625 314.2129211425781],0.6851260662078857,69A066166,0.5995849699511119
5,2.0,[737.2983219623854 108.86688830733064 844.5336654277426 329.7770691309181],[770.6876831054688 229.57144165039062 813.5747680664062 266.03265380859375],0.6693392395973206,88C131343,0.48073806682100917
6,1.0,[71.86692714779934 113.66288397205349 377.6042297306982 319.46971452352363],[193.82064819335938 268.28265380859375 257.68804931640625 314.2129211425781],0.6851260662078857,69A066166,0.5995849699511119
6,2.0,[737.298238241872 108.86740177338152 844.5341265305451 329.7766195715797],[770.6876831054688 229.57144165039062 813.5747680664062 266.03265380859375],0.6693392395973206,88C131343,0.48073806682100917
7,1.0,[71.86695094174863 113.66297650969936 377.6042138841292 319.4696051711837],[193.82064819335938 268.28265380859375 257.68804931640625 314.2129211425781],0.6851260662078857,69A066166,0.5995849699511119
7,2.0,[737.298180341071 108.86760125879206 844.5344823184764 329.77618581582567],[770.6876831054688 229.57144165039062 813.5747680664062 266.03265380859375],0.6693392395973206,88C131343,0.48073806682100917
8,1.0,[71.8669711108661 113.66303130989384 377.6042055642622 319.4695145610019],[193.82064819335938 268.28265380859375 257.68804931640625 314.2129211425781],0.6851260662078857,69A066166,0.5995849699511119
